,Период погашения кредиторской задолженности,Период оборота запасов,Период погашения дебиторской задолженности,Период оборота основных средств,Период оборота активов
1194,,,,,
1195,,,,,
1196,25.03,,,,
1197,,,,,
1198,58673.75,1192.3,55042.0,,61162.0
1199,23.8,4.3,36.0,,41.0
1200,,,,,
1201,,,,,
1202,,,,,
1203,,,,,
1204,,,,,
1205,,,,,
1206,,,,,
1207,,,,,
1208,,,,,
1209,406.55,355.7,233.0,,633.0
1210,,,,,
1211,,,,,
1212,3.46,2.8,,,6.0
1213,,,,,
1214,,,,,
1215,,,,,
1216,,,,,
1217,,,,,
1218,14417.5,,,,
1219,,,,,
1220,,,,,
1221,113.11,5.9,90.0,6.7,119.0
1222,,,,,
1223,,,,,
1224,,,104.0,,188.0
1225,,,,,
1226,,,,,
1227,,,,,
1228,,,,,
1229,,,,,
1230,,,,,
1231,,,,,
1232,,,,,
1233,143.01,100.2,48.0,0.5,150.0
1234,,,,,
1235,,,,,
1236,95.77,21.8,69.0,,91.0
1237,33.15,38.3,48.0,4.9,115.0
1238,,,,,
1239,,,,,
1240,700.08,430.7,290.0,,721.0
1241,,,,,
1242,2968.72,8.4,2115.0,32.6,2534.0
1243,,,,,
1244,,,,,
1245,,,,,
1246,,,,,
1247,,,,,
1248,,,,,
1249,,,,,
1250,,,,,
1251,,,,,
1252,,,,,
1253,,,,,
1254,51.53,,54.0,,346.0
1255,,,,,
1256,,,,,
1257,,,,,
1258,,,,,
1259,181.71,29.3,273.0,,362.0
1260,,,,,
1261,,,,,
1262,,,,,
1263,,,,,
1264,,,,,
1265,,,,,
1266,,,,,
1267,,,,,
1268,92.2,34.3,18.0,12.5,67.0
1269,,,,,
1270,,,,,
1271,,,,,
1272,4072.83,1205.2,1431.0,55.4,2715.0
1273,,,,,
1274,,,,,
1275,,,,,
1276,59.51,52.7,19.0,19.5,119.0
1277,313.62,122.6,317.0,,453.0
1278,,,,,
1279,,,,,
1280,155.19,,154.0,,156.0
1281,,,,,
1282,,753.4,247.0,62.8,1101.0
1283,,,,,
1284,1142.04,1630.6,18073.0,,19704.0
1285,,,,,
1286,,,,,
1287,,,,,
1288,,,,,
1289,,,,,
1290,,,,,
1291,,,,,
1292,,,,,
1293,,,,,
1294,50759.55,12767.7,122695.0,1690.7,138198.0
1295,,,,,
1296,,,,,
1297,,,,,
1298,775.14,,78.0,,88.0
1299,,2.2,38.0,,200.0
1300,,,,,
1301,124.0,98.6,25.0,23.7,198.0
1302,,,,,
1303,,,,,
