,Доходы,Расходы,Расходы,Валовая прибыль (убыток),Коммерческие расходы,Управленческие расходы,Прибыль (убыток) от продажи,Чистая прибыль (убыток)
1020,,,,,,,,-56000.0
1021,,,,,,,,
1022,,,,,,,,
1023,,,,,,,,
1024,,,,,,,2230000.0,1779000.0
1025,,,,,,,,
1026,,,,-2000.0,,,-2000.0,-2000.0
1027,,,,,,,,
1028,,,,,,,,
1029,,,,,,,,
1030,,,,,,,,
1031,,,,,,,,
1032,,,,,,,,
1033,,,,,,,934000.0,80000.0
1034,,,,,,,,
1035,,,,,,,,
1036,,,,,,,,
1037,,,,19408000.0,18998000.0,,410000.0,122000.0
1038,,,,,,,-1031000.0,-1048000.0
1039,,,,1851000.0,,1111000.0,740000.0,557000.0
1040,,,,,,,-5176000.0,
1041,,,,,,,,-2000.0
1042,,,,,,,354000.0,165000.0
1043,,,,,,,,
1044,,,,,,,,
1045,,,,,,,,
1046,,,,,,,,
1047,,,,,,,,
1048,,,,,,,717000.0,446000.0
1049,,,,,,,,
1050,,,,,,,,
1051,,,,,,,,
1052,,,,,,,,
1053,,,,1412000.0,,4000.0,1408000.0,1356000.0
1054,,,,,,,,
1055,,,,,,,,
1056,,,,,,,,
1057,,,,,,,,
1058,,,,,,,,
1059,,,,,,,,
1060,,,,,,,,
1061,,,,,,,,
1062,,,,,,,,
1063,,,,,,,,
1064,,,,,,,,
1065,,,,,,,,
1066,,,,,,,-762000.0,-897000.0
1067,,,,,,,,
1068,,,,,,,,
1069,,,,,,,,
1070,,,,,,,,
1071,,,,,,,,
1072,,,,,,,,
1073,,,,3970000.0,,1803000.0,2167000.0,1855000.0
1074,,,,,,,,
1075,,,,,,,,
1076,,,,,,,,
1077,,,,,,,,
1078,,,,,,,,30000.0
1079,,,,,,,,
1080,,,,,,,-1344000.0,-284000.0
1081,,,,,,,,
1082,,,,,,,-8271000.0,-4536000.0
1083,,,,4559000.0,,2681000.0,1878000.0,1323000.0
1084,,,,,,,,
1085,,,,,,,,
1086,,,,,,,,
1087,,,,,,,,
1088,,,,,,,-521000.0,52000.0
1089,,,,,,,,
1090,,,,,,,,
1091,,,,,,,,67000.0
